ID,Jezero,Plocha,Horizont,Opakovani,pH,DW,TOC1,MBC1,TN1,MBN1,Pi1,Ptot1,MBP1,Pi2,TOC2,MBC2,TN2,MBN2,MBP2,mu,muMBC,muMBN,muMBP,Navratnost,PPadd,PiExcessNF,PtotExcessNF,PiExcessF,PtotExcessF,PiExcessNFExtract,PtotExcessNFExtract,PiExcessFExtract,PtotExcessFExtract,PPExtractNF,PPExtractF,VmaxNF,KmNF,KiNF,VmaxF,KmF,KiF
1,CT,25,O,1,4.8,0.22,89.47,514.42,31.59,62.43,1.46,2.44,24.79,1.09,96.23,368.96,44.10,49.91,26.13,0.69,8.64,0.68,0.16,0.92,15.57,8.00,12.30,14.54,13.52,132.72,186.91,135.23,179.41,240.00,240.00,8.575,1.613,548.631,10.532,5.759,7509.855
2,CT,25,O,2,4.8,0.22,86.73,462.24,30.19,54.85,1.64,2.37,25.15,0.98,92.05,395.53,42.27,52.96,25.23,0.55,7.93,0.22,0.15,0.97,15.57,9.47,12.70,13.83,13.59,154.15,191.76,144.89,187.17,240.00,240.00,12.760,2.623,1001.314,9.873,4.031,977.764
3,CT,25,O,3,4.8,0.22,86.23,455.57,30.72,57.05,1.84,2.48,26.63,1.06,103.50,332.47,45.08,37.13,22.83,0.58,11.80,0.88,0.14,1.00,15.57,9.58,11.79,12.00,9.59,161.96,196.00,92.68,165.83,240.00,240.00,9.548,2.091,575.900,13.537,4.276,892.928
4,CT,25,A,1,4.7,0.23,48.71,296.58,27.28,34.37,0.41,,20.82,0.51,55.60,277.34,39.50,36.63,21.14,0.57,7.17,0.67,0.15,1.00,14.99,13.25,,11.06,,159.48,,156.50,,240.00,240.00,7.981,2.552,894.148,5.325,4.179,1947.334
5,CT,25,A,2,4.7,0.23,50.47,311.92,28.89,34.28,0.46,,20.32,0.68,53.59,285.72,38.30,39.06,20.13,0.56,6.43,0.44,0.25,1.00,14.99,13.86,,12.70,,170.24,,165.78,,240.00,240.00,7.566,1.894,505.796,5.961,3.099,371220583.324
6,CT,25,A,3,4.7,0.23,48.38,330.25,28.20,39.17,0.54,,20.96,0.63,52.74,303.92,40.57,32.60,19.53,0.50,7.31,0.46,0.31,1.00,14.99,14.70,,13.18,,152.76,,148.38,,240.00,240.00,6.458,1.267,669.600,4.058,4.633,914.776
7,CT,74,O,1,3.8,0.22,45.27,238.02,15.76,26.25,0.14,,13.90,0.14,45.34,231.90,21.77,33.03,13.66,0.62,6.41,0.59,0.13,0.96,15.21,8.90,,13.85,,158.94,,156.11,,240.00,240.00,4.961,1.707,990.396,4.776,2.968,878.160
8,CT,74,O,2,3.8,0.22,47.92,256.96,16.64,29.63,0.18,,14.33,0.13,45.77,257.42,23.72,29.42,14.06,0.67,6.63,0.78,0.15,0.97,15.21,9.94,,13.85,,146.64,,147.60,,240.00,240.00,5.797,1.655,563.030,4.921,2.728,974.579
9,CT,74,O,3,3.8,0.22,45.97,289.43,16.37,32.68,0.24,,13.15,0.16,45.58,229.52,24.01,26.77,13.00,0.70,5.78,0.48,0.13,1.00,15.21,10.62,,14.16,,159.79,,144.51,,240.00,240.00,3.967,1.367,498.986,5.524,2.854,1464.439
10,CT,74,A,1,3.4,0.25,45.55,128.56,5.90,14.04,0.01,,7.22,0.06,41.73,144.18,7.88,17.31,6.18,0.47,5.96,0.37,0.15,0.92,13.37,8.39,,11.12,,163.12,,157.66,,240.00,240.00,1.989,0.543,680.269,2.236,0.565,681.404
