Nazev,Popis
ID,nahodne pridelene cislo vzorku – 1 – 36 (12 vzorku po 3 opakovanich)
Jezero,Puda z povodi Plesneho (PL) nebo Certova (CT) jezera
Plocha,"Cislo plochy, na ktere byl pudni vzorek odebran. Detailni informace o kazde plose ma Michal Choma (chomic@email.cz)"
Horizont,"Pudni horizont – bud O (typicky smes diagnostickych horizontu1 Ol a Of), nebo A (diagnosticky horizont H)"
Opakovani,Pro kazdy vzorek jsou vzdy 3 opakovani
DW,suchy podil pudy – bezrozmerne
TOC1,"0,5M K2SO4 extrahovatelný organický uhlík (v pomeru puda/extraktant ¼ g/ml) – stanoveno v srpnu 2022 [umol C/g DW]"
MBC1,"Uhlik v biomase pudnich mikroorganismu stanoveny fumigacne extrakcni metodou podle Vance et al. 1987, pouzity korekcni faktor je 0.45 podle Wu et al. 1990 – stanoveno v srpnu 2022 [umol C/g DW]"
TN1,"0,5M K2SO4 extrahovatelný dusik (v pomeru puda/extraktant ¼ g/ml) – stanoveno v srpnu 2022 [umol N/g DW]"
MBN1,"Dusik v biomase pudnich mikroorganismu stanoveny fumigacne extrakcni metodou podle Brookes et al. 1985, pouzity korekcni faktor je 0.54 – stanoveno v srpnu 2022 [umol N/g DW]"
Pi1,"0,5M NaHCO3 o pH = 8.5 extrahovatelný fosfor (v pomeru puda/extraktant 1/15 g/ml) – stanoveno v cervnu 2022 [umol P/g DW]"
Ptot1,"0,5M NaHCO3 o pH = 8.5 extrahovatelný fosfor (v pomeru puda/extraktant 1/15 g/ml) – celkovy P v extraktu [umol P/g DW]"
MBP1,"Fosfor v biomase pudnich mikroorganismu stanoveny fumigacne extrakcni metodou podle Brookes et al. 1982, pouzity korekcni faktor je 0.4 – stanoveno v cervnu 2022 [umol P/g DW]"
TOC2,"0,5M K2SO4 extrahovatelný organický uhlík (v pomeru puda/extraktant ¼ g/ml) – stanoveno v listopadu 2022 [umol C/g DW]"
